state_province,trust_score
ACT,100.0
Argyll,100.0
Chungcheongnamdo,100.0
Clare,100.0
Carlow,100.0
Busan,100.0
Bute,100.0
Bouche du Rhône,100.0
Bolzano,100.0
Kerry,100.0
Salzburg,100.0
Tipperary,100.0
West Dunbartonshire,100.0
Westmeath,100.0
Porto,100.0
North West,100.0
Chungcheongbukdo,100.0
Daejeon,100.0
Cork,100.0
Coimbra,100.0
Galway,100.0
Faro,100.0
East Dunbartonshire,100.0
District of Columbia,100.0
Deagu,100.0
Free State,100.0
Gangwondo,100.0
Kilkenny,100.0
K�rnten,100.0
Leiria,100.0
MIssouri,100.0
Longford,100.0
Limpopo,100.0
Louth,100.0
Kildare,100.0
Jeollanamdo,100.0
Jeollabukdo,100.0
Jejudo,100.0
Gyeongsangnamdo,100.0
Gyeongsangbukdo,100.0
Gwangju,100.0
Seoul,100.0
Mayo,100.0
Meath,100.0
Mpumalanga,100.0
Monaghan,100.0
Middle,100.0
Waterford,100.0
Portalegre,100.0
Nieder�sterreich,100.0
Oberösterreich,100.0
NT,100.0
Wicklow,100.0
Rhode Island,98.92
Western Cape,98.69
West Sussex,97.85
East Sussex,97.85
Osaka,96.67
Gyeonggido,96.3
KwaZulu-Natal,96.08
Maryland,95.99
SA,95.74
Missouri,95.74
Nebraska,95.7
Washington,95.45
Steiermark,95.24
QLD,95.06
Alaska,95.0
North Dakota,94.87
Wyoming,94.87
Alabama,94.87
Idaho,94.53
VIC,94.17
Mississippi,94.12
Hawaii,94.12
Oklahoma,93.94
Iowa,93.04
Utah,92.59
West Virginia,92.5
New Mexico,92.37
TAS,92.31
Minnesota,92.17
Gauteng,92.16
NSW,92.13
South Dakota,91.85
Delaware,91.67
Oregon,91.41
Arkansas,90.37
Wisconsin,90.37
New York,90.06
Berlin,90.0
British Columbia,89.64
South Carolina,89.45
Vermont,89.27
WA,89.13
Montana,89.13
Eastern Cape,88.89
California,88.79
Colorado,88.64
Maine,88.6
North Carolina,88.53
Michigan,87.91
Louisiana,87.88
Illinois,87.81
Massachusetts,87.8
New Hampshire,87.61
Nevada,87.58
New Jersey,87.54
Dublin,87.5
Virginia,87.32
Arizona,86.93
Lisboa,86.67
Pennsylvania,86.57
Tennessee,86.49
Ohio,85.92
Indiana,85.6
Florida,85.58
Kentucky,85.06
Singapore,84.85
Texas,84.66
Aveiro,83.33
Sligo,83.33
Blekinge,83.33
Halland,83.33
Offaly,83.33
Wexford,83.33
Laois,83.33
Incheon,83.33
Limerick,83.33
Kansas,82.98
Georgia,82.33
Connecticut,82.27
Donegal,75.0
Beja,66.67
Dnipropetrovsk Oblast,66.67
Roscommon,66.67
dolnośląskie,33.33
