state_province,total_brewery_count,micro_brewery_count
California,919,466
Washington,498,245
Colorado,449,228
New York,419,226
Michigan,375,143
Texas,352,196
Pennsylvania,345,129
Florida,312,190
North Carolina,311,185
Ohio,303,163
Oregon,295,142
Illinois,257,123
Virginia,255,152
Wisconsin,225,99
Minnesota,183,111
Massachusetts,164,92
Indiana,162,60
VIC,160,151
Maryland,158,79
NSW,144,141
Missouri,141,66
Arizona,125,59
British Columbia,119,54
Tennessee,116,63
New Jersey,115,79
Maine,114,70
New Hampshire,113,43
Georgia,100,47
Connecticut,94,41
Montana,92,61
Iowa,91,56
New Mexico,83,30
QLD,81,79
South Carolina,79,38
Idaho,67,36
Nebraska,62,35
Alaska,60,28
Vermont,59,34
Kentucky,58,41
Alabama,52,26
Wyoming,52,24
Western Cape,51,30
Nevada,51,22
SA,47,43
Kansas,47,18
WA,46,43
Arkansas,45,22
Utah,45,21
South Dakota,45,24
Louisiana,44,27
Oklahoma,44,30
West Virginia,40,21
dolnośląskie,34,20
Hawaii,34,4
Singapore,33,0
West Sussex,31,19
East Sussex,31,21
Rhode Island,31,20
Delaware,28,10
North Dakota,26,12
TAS,26,24
District of Columbia,22,5
KwaZulu-Natal,17,10
Mississippi,17,13
Gauteng,17,10
Dublin,16,10
Seoul,14,0
Cork,11,5
Osaka,10,4
Berlin,10,0
Gyeonggido,9,1
Busan,9,1
Eastern Cape,9,5
Steiermark,7,0
Gangwondo,7,0
ACT,7,7
Blekinge,6,6
Lisboa,5,3
Donegal,4,3
Argyll,4,4
Halland,4,4
Bolzano,4,1
West Dunbartonshire,4,4
Jeollabukdo,3,0
Gyeongsangbukdo,3,1
Wicklow,3,2
North West,3,1
NT,3,3
Mpumalanga,3,0
Jejudo,3,0
Kildare,3,3
Kilkenny,3,1
Gyeongsangnamdo,3,0
Chungcheongnamdo,3,2
Bouche du Rhône,3,3
Galway,3,1
Free State,3,2
Kerry,3,2
K�rnten,3,0
Wexford,2,2
Aveiro,2,1
Mayo,2,2
Incheon,2,0
Laois,2,2
Limerick,2,2
Sligo,2,2
Waterford,2,2
Tipperary,2,2
Porto,2,1
Nieder�sterreich,2,0
Middle,2,2
Offaly,2,2
Oberösterreich,2,0
Beja,1,0
Louth,1,1
Clare,1,0
Coimbra,1,0
East Dunbartonshire,1,1
Dnipropetrovsk Oblast,1,1
Deagu,1,0
Faro,1,1
Bute,1,0
MIssouri,1,1
Limpopo,1,1
Longford,1,1
Leiria,1,0
Jeollanamdo,1,0
Gwangju,1,0
Carlow,1,1
Daejeon,1,0
Chungcheongbukdo,1,0
Meath,1,1
Monaghan,1,1
Portalegre,1,1
Salzburg,1,0
Roscommon,1,1
Westmeath,1,0
